#mbytes,method,test_case,backend,time,mb_per_sec
0.954, basic_parse, long_list, python, 1.216, 0.784
9.669, parse, big_bool_object, python, 2.675, 3.615
9.669, parse, big_bool_object, yajl2, 1.300, 7.439
9.669, parse, big_bool_object, yajl2_c, 0.168, 57.546
14.093, parse, big_str_object, python, 2.996, 4.704
14.093, parse, big_str_object, yajl2, 1.746, 8.072
14.093, parse, big_str_object, yajl2_c, 0.171, 82.554
40.425, parse, big_longstr_object, python, 3.043, 13.282
40.425, parse, big_longstr_object, yajl2, 1.759, 22.980
40.425, parse, big_longstr_object, yajl2_c, 0.173, 233.269
96.321, parse, object_with_10_keys, python, 31.998, 3.010
96.321, parse, object_with_10_keys, yajl2, 18.427, 5.227
96.321, parse, object_with_10_keys, yajl2_c, 2.275, 42.335
1.907, parse, empty_lists, python, 1.838, 1.038
1.907, parse, empty_lists, yajl2, 0.683, 2.791
1.907, parse, empty_lists, yajl2_c, 0.171, 11.179
1.907, parse, empty_objects, python, 1.706, 1.118
1.907, parse, empty_objects, yajl2, 0.656, 2.907
1.907, parse, empty_objects, yajl2_c, 0.148, 12.912
0.954, parse, long_list, python, 1.349, 0.707
0.954, parse, long_list, yajl2, 1.048, 0.910
0.954, parse, long_list, yajl2_c, 0.098, 9.744
10.278, parse, big_int_object, python, 3.138, 3.275
10.278, parse, big_int_object, yajl2, 2.256, 4.557
10.278, parse, big_int_object, yajl2_c, 0.205, 50.119
11.232, parse, big_decimal_object, python, 3.061, 3.670
11.232, parse, big_decimal_object, yajl2, 2.055, 5.466
11.232, parse, big_decimal_object, yajl2_c, 0.307, 36.615
9.431, parse, big_null_object, python, 2.612, 3.611
9.431, parse, big_null_object, yajl2, 1.150, 8.203
9.431, parse, big_null_object, yajl2_c, 0.161, 58.438
9.669, parse, big_bool_object, python, 2.585, 3.741
9.669, parse, big_bool_object, yajl2, 1.251, 7.728
9.669, parse, big_bool_object, yajl2_c, 0.169, 57.167
14.093, parse, big_str_object, python, 2.886, 4.884
14.093, parse, big_str_object, yajl2, 1.661, 8.484
14.093, parse, big_str_object, yajl2_c, 0.174, 80.967
40.425, parse, big_longstr_object, python, 3.001, 13.471
40.425, parse, big_longstr_object, yajl2, 1.695, 23.846
40.425, parse, big_longstr_object, yajl2_c, 0.174, 232.151
96.321, parse, object_with_10_keys, python, 31.260, 3.081
96.321, parse, object_with_10_keys, yajl2, 17.703, 5.441
96.321, parse, object_with_10_keys, yajl2_c, 2.272, 42.390
1.907, parse, empty_lists, python, 1.819, 1.048
1.907, parse, empty_lists, yajl2, 0.667, 2.859
1.907, parse, empty_lists, yajl2_c, 0.174, 10.986
1.907, parse, empty_objects, python, 1.735, 1.099
1.907, parse, empty_objects, yajl2, 0.622, 3.068
1.907, parse, empty_objects, yajl2_c, 0.148, 12.921
0.954, parse, long_list, python, 1.317, 0.724
0.954, parse, long_list, yajl2, 1.027, 0.928
0.954, parse, long_list, yajl2_c, 0.097, 9.833
10.278, parse, big_int_object, python, 2.849, 3.607
10.278, parse, big_int_object, yajl2, 2.522, 4.076
10.278, parse, big_int_object, yajl2_c, 0.205, 50.106
11.232, parse, big_decimal_object, python, 3.051, 3.681
11.232, parse, big_decimal_object, yajl2, 2.030, 5.532
11.232, parse, big_decimal_object, yajl2_c, 0.307, 36.630
9.431, parse, big_null_object, python, 2.595, 3.634
9.431, parse, big_null_object, yajl2, 1.132, 8.329
9.431, parse, big_null_object, yajl2_c, 0.162, 58.292
9.669, parse, big_bool_object, python, 2.565, 3.769
9.669, parse, big_bool_object, yajl2, 1.237, 7.820
9.669, parse, big_bool_object, yajl2_c, 0.169, 57.261
14.093, parse, big_str_object, python, 2.881, 4.892
14.093, parse, big_str_object, yajl2, 1.653, 8.524
14.093, parse, big_str_object, yajl2_c, 0.172, 82.162
40.425, parse, big_longstr_object, python, 3.001, 13.469
40.425, parse, big_longstr_object, yajl2, 1.709, 23.650
40.425, parse, big_longstr_object, yajl2_c, 0.175, 230.897
96.321, parse, object_with_10_keys, python, 31.050, 3.102
96.321, parse, object_with_10_keys, yajl2, 17.577, 5.480
96.321, parse, object_with_10_keys, yajl2_c, 2.275, 42.335
1.907, parse, empty_lists, python, 1.821, 1.048
1.907, parse, empty_lists, yajl2, 0.658, 2.901
1.907, parse, empty_lists, yajl2_c, 0.177, 10.770
1.907, parse, empty_objects, python, 1.723, 1.107
1.907, parse, empty_objects, yajl2, 0.619, 3.082
1.907, parse, empty_objects, yajl2_c, 0.148, 12.881
0.954, kvitems, long_list, python, 1.398, 0.682
0.954, kvitems, long_list, yajl2, 1.088, 0.877
0.954, kvitems, long_list, yajl2_c, 0.104, 9.190
10.278, kvitems, big_int_object, python, 3.898, 2.637
10.278, kvitems, big_int_object, yajl2, 2.631, 3.907
10.278, kvitems, big_int_object, yajl2_c, 0.227, 45.254
11.232, kvitems, big_decimal_object, python, 4.216, 2.664
11.232, kvitems, big_decimal_object, yajl2, 2.731, 4.113
11.232, kvitems, big_decimal_object, yajl2_c, 0.334, 33.661
9.431, kvitems, big_null_object, python, 3.582, 2.633
9.431, kvitems, big_null_object, yajl2, 1.822, 5.177
9.431, kvitems, big_null_object, yajl2_c, 0.190, 49.754
9.669, kvitems, big_bool_object, python, 3.499, 2.763
9.669, kvitems, big_bool_object, yajl2, 1.916, 5.047
9.669, kvitems, big_bool_object, yajl2_c, 0.196, 49.237
14.093, kvitems, big_str_object, python, 3.835, 3.675
14.093, kvitems, big_str_object, yajl2, 2.327, 6.056
14.093, kvitems, big_str_object, yajl2_c, 0.202, 69.738
40.425, kvitems, big_longstr_object, python, 3.975, 10.171
40.425, kvitems, big_longstr_object, yajl2, 2.350, 17.204
40.425, kvitems, big_longstr_object, yajl2_c, 0.206, 195.991
96.321, kvitems, object_with_10_keys, python, 32.431, 2.970
96.321, kvitems, object_with_10_keys, yajl2, 18.863, 5.106
96.321, kvitems, object_with_10_keys, yajl2_c, 2.443, 39.433
1.907, kvitems, empty_lists, python, 1.927, 0.990
1.907, kvitems, empty_lists, yajl2, 0.750, 2.543
1.907, kvitems, empty_lists, yajl2_c, 0.185, 10.287
1.907, kvitems, empty_objects, python, 1.833, 1.040
1.907, kvitems, empty_objects, yajl2, 0.712, 2.679
1.907, kvitems, empty_objects, yajl2_c, 0.157, 12.178
0.954, kvitems, long_list, python, 1.397, 0.683
0.954, kvitems, long_list, yajl2, 1.073, 0.889
0.954, kvitems, long_list, yajl2_c, 0.103, 9.304
10.278, kvitems, big_int_object, python, 4.293, 2.394
10.278, kvitems, big_int_object, yajl2, 2.792, 3.681
10.278, kvitems, big_int_object, yajl2_c, 0.228, 45.143
11.232, kvitems, big_decimal_object, python, 4.091, 2.745
11.232, kvitems, big_decimal_object, yajl2, 2.740, 4.099
11.232, kvitems, big_decimal_object, yajl2_c, 0.336, 33.430
9.431, kvitems, big_null_object, python, 3.554, 2.653
9.431, kvitems, big_null_object, yajl2, 1.822, 5.176
9.431, kvitems, big_null_object, yajl2_c, 0.191, 49.258
9.669, kvitems, big_bool_object, python, 3.459, 2.795
9.669, kvitems, big_bool_object, yajl2, 1.937, 4.991
9.669, kvitems, big_bool_object, yajl2_c, 0.197, 49.116
14.093, kvitems, big_str_object, python, 3.752, 3.757
14.093, kvitems, big_str_object, yajl2, 2.314, 6.091
14.093, kvitems, big_str_object, yajl2_c, 0.204, 69.009
40.425, kvitems, big_longstr_object, python, 4.018, 10.061
40.425, kvitems, big_longstr_object, yajl2, 2.336, 17.302
40.425, kvitems, big_longstr_object, yajl2_c, 0.210, 192.685
96.321, kvitems, object_with_10_keys, python, 32.961, 2.922
96.321, kvitems, object_with_10_keys, yajl2, 18.683, 5.156
96.321, kvitems, object_with_10_keys, yajl2_c, 2.442, 39.445
1.907, kvitems, empty_lists, python, 1.890, 1.009
1.907, kvitems, empty_lists, yajl2, 0.737, 2.587
1.907, kvitems, empty_lists, yajl2_c, 0.187, 10.191
1.907, kvitems, empty_objects, python, 1.826, 1.044
1.907, kvitems, empty_objects, yajl2, 0.697, 2.736
1.907, kvitems, empty_objects, yajl2_c, 0.157, 12.150
0.954, kvitems, long_list, python, 1.369, 0.697
0.954, kvitems, long_list, yajl2, 1.054, 0.905
0.954, kvitems, long_list, yajl2_c, 0.106, 9.034
10.278, kvitems, big_int_object, python, 4.198, 2.448
10.278, kvitems, big_int_object, yajl2, 2.797, 3.674
10.278, kvitems, big_int_object, yajl2_c, 0.227, 45.268
11.232, kvitems, big_decimal_object, python, 4.246, 2.646
11.232, kvitems, big_decimal_object, yajl2, 2.680, 4.191
11.232, kvitems, big_decimal_object, yajl2_c, 0.337, 33.335
9.431, kvitems, big_null_object, python, 3.509, 2.687
9.431, kvitems, big_null_object, yajl2, 1.781, 5.296
9.431, kvitems, big_null_object, yajl2_c, 0.192, 49.222
9.669, kvitems, big_bool_object, python, 3.464, 2.792
9.669, kvitems, big_bool_object, yajl2, 1.892, 5.110
9.669, kvitems, big_bool_object, yajl2_c, 0.200, 48.251
14.093, kvitems, big_str_object, python, 3.766, 3.742
14.093, kvitems, big_str_object, yajl2, 2.285, 6.168
14.093, kvitems, big_str_object, yajl2_c, 0.202, 69.864
40.425, kvitems, big_longstr_object, python, 3.902, 10.360
40.425, kvitems, big_longstr_object, yajl2, 2.318, 17.440
40.425, kvitems, big_longstr_object, yajl2_c, 0.208, 194.403
96.321, kvitems, object_with_10_keys, python, 32.344, 2.978
96.321, kvitems, object_with_10_keys, yajl2, 18.428, 5.227
96.321, kvitems, object_with_10_keys, yajl2_c, 2.363, 40.760
1.907, kvitems, empty_lists, python, 1.902, 1.003
1.907, kvitems, empty_lists, yajl2, 0.739, 2.579
1.907, kvitems, empty_lists, yajl2_c, 0.184, 10.370
1.907, kvitems, empty_objects, python, 1.839, 1.037
1.907, kvitems, empty_objects, yajl2, 0.703, 2.713
1.907, kvitems, empty_objects, yajl2_c, 0.155, 12.329
0.954, items, long_list, python, 1.616, 0.590
0.954, items, long_list, yajl2, 1.254, 0.760
0.954, items, long_list, yajl2_c, 0.111, 8.630
10.278, items, big_int_object, python, 4.178, 2.460
10.278, items, big_int_object, yajl2, 2.498, 4.114
10.278, items, big_int_object, yajl2_c, 0.334, 30.778
11.232, items, big_decimal_object, python, 3.783, 2.969
11.232, items, big_decimal_object, yajl2, 2.641, 4.253
11.232, items, big_decimal_object, yajl2_c, 0.465, 24.156
9.431, items, big_null_object, python, 3.237, 2.913
9.431, items, big_null_object, yajl2, 1.692, 5.574
9.431, items, big_null_object, yajl2_c, 0.283, 33.379
9.669, items, big_bool_object, python, 3.187, 3.034
9.669, items, big_bool_object, yajl2, 1.802, 5.367
9.669, items, big_bool_object, yajl2_c, 0.289, 33.475
14.093, items, big_str_object, python, 3.552, 3.968
14.093, items, big_str_object, yajl2, 2.236, 6.302
14.093, items, big_str_object, yajl2_c, 0.324, 43.561
40.425, items, big_longstr_object, python, 3.798, 10.643
40.425, items, big_longstr_object, yajl2, 2.299, 17.587
40.425, items, big_longstr_object, yajl2_c, 0.346, 117.005
96.321, items, object_with_10_keys, python, 39.468, 2.441
96.321, items, object_with_10_keys, yajl2, 23.463, 4.105
96.321, items, object_with_10_keys, yajl2_c, 3.583, 26.884
1.907, items, empty_lists, python, 2.450, 0.779
1.907, items, empty_lists, yajl2, 1.315, 1.450
1.907, items, empty_lists, yajl2_c, 0.370, 5.161
1.907, items, empty_objects, python, 2.459, 0.776
1.907, items, empty_objects, yajl2, 1.214, 1.572
1.907, items, empty_objects, yajl2_c, 0.269, 7.094
0.954, items, long_list, python, 1.579, 0.604
0.954, items, long_list, yajl2, 1.250, 0.763
0.954, items, long_list, yajl2_c, 0.110, 8.688
10.278, items, big_int_object, python, 3.582, 2.870
10.278, items, big_int_object, yajl2, 2.521, 4.078
10.278, items, big_int_object, yajl2_c, 0.337, 30.476
11.232, items, big_decimal_object, python, 3.832, 2.931
11.232, items, big_decimal_object, yajl2, 2.664, 4.217
11.232, items, big_decimal_object, yajl2_c, 0.465, 24.136
9.431, items, big_null_object, python, 3.237, 2.913
9.431, items, big_null_object, yajl2, 1.722, 5.477
9.431, items, big_null_object, yajl2_c, 0.282, 33.388
9.669, items, big_bool_object, python, 3.175, 3.046
9.669, items, big_bool_object, yajl2, 1.791, 5.398
9.669, items, big_bool_object, yajl2_c, 0.293, 33.018
14.093, items, big_str_object, python, 3.511, 4.014
14.093, items, big_str_object, yajl2, 2.228, 6.325
14.093, items, big_str_object, yajl2_c, 0.323, 43.683
40.425, items, big_longstr_object, python, 3.748, 10.787
40.425, items, big_longstr_object, yajl2, 2.300, 17.575
40.425, items, big_longstr_object, yajl2_c, 0.345, 117.070
96.321, items, object_with_10_keys, python, 38.391, 2.509
96.321, items, object_with_10_keys, yajl2, 23.647, 4.073
96.321, items, object_with_10_keys, yajl2_c, 3.586, 26.858
1.907, items, empty_lists, python, 2.451, 0.778
1.907, items, empty_lists, yajl2, 1.320, 1.445
1.907, items, empty_lists, yajl2_c, 0.366, 5.211
1.907, items, empty_objects, python, 2.465, 0.774
1.907, items, empty_objects, yajl2, 1.219, 1.564
1.907, items, empty_objects, yajl2_c, 0.263, 7.250
0.954, items, long_list, python, 1.582, 0.603
0.954, items, long_list, yajl2, 1.281, 0.744
0.954, items, long_list, yajl2_c, 0.111, 8.627
10.278, items, big_int_object, python, 4.098, 2.508
10.278, items, big_int_object, yajl2, 2.567, 4.005
10.278, items, big_int_object, yajl2_c, 0.336, 30.614
11.232, items, big_decimal_object, python, 3.790, 2.964
11.232, items, big_decimal_object, yajl2, 2.652, 4.236
11.232, items, big_decimal_object, yajl2_c, 0.461, 24.361
9.431, items, big_null_object, python, 3.270, 2.884
9.431, items, big_null_object, yajl2, 1.704, 5.534
9.431, items, big_null_object, yajl2_c, 0.285, 33.079
9.669, items, big_bool_object, python, 3.215, 3.008
9.669, items, big_bool_object, yajl2, 1.827, 5.293
9.669, items, big_bool_object, yajl2_c, 0.296, 32.684
14.093, items, big_str_object, python, 3.509, 4.016
14.093, items, big_str_object, yajl2, 2.270, 6.208
14.093, items, big_str_object, yajl2_c, 0.317, 44.439
40.425, items, big_longstr_object, python, 3.779, 10.696
40.425, items, big_longstr_object, yajl2, 2.311, 17.495
40.425, items, big_longstr_object, yajl2_c, 0.333, 121.372
96.321, items, object_with_10_keys, python, 38.635, 2.493
96.321, items, object_with_10_keys, yajl2, 23.612, 4.079
96.321, items, object_with_10_keys, yajl2_c, 3.573, 26.956
1.907, items, empty_lists, python, 2.468, 0.773
1.907, items, empty_lists, yajl2, 1.335, 1.429
1.907, items, empty_lists, yajl2_c, 0.367, 5.193
1.907, items, empty_objects, python, 2.505, 0.762
1.907, items, empty_objects, yajl2, 1.215, 1.569
1.907, items, empty_objects, yajl2_c, 0.265, 7.201
